weekday	Month	Day	Max Temp (°C)	Min Temp (°C)
1	6	30	25.3	13.7
2	2	11	-11.1	-17.4
5	9	26	17.7	5.3
0	7	6	28.1	16.4
0	8	3	26.0	18.7
3	7	16	23.4	10.4
0	1	19	1.4	-13.6
5	3	7	-2.3	-13.3
2	12	9	7.2	0.1
1	1	20	-13.7	-18.3
3	8	6	22.7	14.1
2	3	4	1.9	-5.8
5	3	21	1.8	-10.3
3	7	9	23.3	15.3
4	2	6	-9.9	-24.3
5	3	14	0.3	-3.3
5	7	4	24.8	14.1
4	1	16	-2.4	-20.2
2	4	22	9.6	4.1
6	11	1	12.9	5.5
0	6	29	19.2	12.2
1	11	3	15.5	4.7
1	8	4	25.7	17.5
2	1	7	-9.0	-26.4
5	10	3	13.2	2.9
0	10	26	7.2	-0.8
3	7	2	23.1	13.3
5	1	17	-14.9	-23.9
5	8	15	27.7	19.3
2	2	25	-4.6	-17.6
1	11	10	12.8	-0.1
4	10	16	11.5	4.9
3	9	3	28.1	16.2
0	11	9	11.9	1.7
2	8	19	31.2	20.6
4	6	5	24.6	14.0
5	6	13	26.6	12.5
5	3	28	-1.8	-9.3
6	9	27	23.1	5.9
6	5	24	25.7	12.7
1	10	20	17.5	6.9
2	5	20	15.6	6.8
3	8	20	30.5	19.2
6	9	20	18.2	9.4
6	1	11	-4.2	-12.2
4	5	29	25.4	10.3
4	7	24	24.0	16.4
0	10	5	15.6	4.5
6	8	2	27.0	14.9
5	8	8	23.6	12.7
3	9	24	19.2	10.1
0	3	9	2.5	-3.5
3	4	23	6.4	1.7
4	9	25	15.3	6.8
1	4	28	19.7	3.7
4	10	23	8.2	-0.4
5	4	11	8.4	2.6
5	10	17	6.2	-2.0
6	7	26	27.3	19.1
5	7	18	25.5	18.1
0	4	6	2.8	-6.2
3	10	8	12.1	3.9
6	3	1	-3.4	-17.3
6	4	26	12.4	3.2
0	8	17	30.7	20.0
6	7	19	28.7	20.1
0	1	5	-5.3	-17.9
2	8	26	22.7	15.9
3	10	29	14.8	6.9
2	8	5	24.0	15.9
0	3	16	2.3	-11.4
4	1	30	-2.1	-18.6
2	3	25	6.9	-8.7
2	6	10	24.0	15.6
5	4	18	10.1	2.3
0	6	22	26.6	17.2
0	7	13	30.1	20.0
3	5	14	18.6	5.8
5	9	19	28.3	14.0
3	10	15	13.7	2.4
3	10	22	16.9	3.4
4	7	3	24.6	12.7
1	12	8	3.9	-0.4
4	3	27	2.2	-5.5
5	8	29	23.8	14.5
6	9	6	30.8	18.4
1	1	13	-17.0	-23.1
5	5	2	23.6	7.3
3	1	29	-0.2	-16.2
5	6	20	24.5	9.8
5	5	23	17.2	2.7
6	8	23	27.7	16.0
5	12	5	6.3	2.2
4	10	30	8.4	-1.2
5	2	21	-7.6	-17.5
3	6	4	24.5	8.1
5	8	22	24.9	15.5
6	6	28	19.7	12.7
1	6	9	22.4	15.7
0	11	2	10.8	5.2
1	3	31	2.2	-4.9
0	2	9	-11.7	-15.6
6	5	17	24.0	14.5
1	1	27	-9.6	-16.2
4	9	11	24.7	13.8
4	5	22	13.4	3.7
4	8	14	24.6	15.7
3	1	1	-3.0	-7.6
2	10	14	14.4	2.9
5	10	10	10.0	2.6
6	10	18	4.7	-4.3
2	11	4	13.5	1.4
0	12	7	4.1	-2.0
1	2	10	-7.1	-14.8
1	4	14	16.8	5.4
6	6	21	24.7	18.8
4	9	4	26.1	12.6
1	6	2	13.3	6.5
1	3	3	-3.7	-19.1
6	5	31	14.5	8.2
1	2	17	-13.0	-24.2
6	8	16	28.7	20.2
1	3	10	7.8	-4.1
1	12	1	4.1	-7.3
4	12	11	14.0	6.4
0	7	20	27.6	19.4
1	10	13	17.9	12.1
2	1	28	-8.6	-15.2
3	4	9	6.9	0.2
4	5	1	19.3	7.6
3	3	5	-5.8	-18.6
0	2	2	-17.3	-22.5
1	8	18	30.9	21.6
6	12	6	5.8	-0.7
5	5	9	28.1	12.8
2	9	30	13.3	6.3
1	5	19	26.7	12.1
4	4	3	12.8	5.2
2	4	8	6.2	-3.4
5	5	16	20.7	14.7
6	10	25	12.7	5.0
5	9	5	28.7	12.4
3	6	11	23.0	16.3
1	9	1	27.2	14.2
3	12	3	5.8	-0.6
3	9	10	24.2	15.6
2	6	3	17.9	4.3
5	2	14	-13.9	-20.8
3	1	15	-4.7	-20.8
5	6	6	19.8	8.9
4	10	2	13.0	4.0
0	9	14	20.9	14.4
6	4	5	0.9	-5.2
5	10	31	8.1	-3.2
4	5	8	29.5	12.4
4	3	6	-6.9	-20.6
5	1	24	-0.7	-2.9
6	5	10	25.2	13.4
1	4	21	12.1	4.6
0	3	23	-6.1	-15.9
1	8	25	25.9	14.9
0	7	27	29.6	19.4
3	1	8	-7.4	-27.5
0	10	19	9.4	-4.9
2	9	9	27.9	16.9
5	7	11	28.6	17.8
1	7	21	25.1	14.8
4	11	6	19.5	9.8
4	2	13	-18.0	-23.7
0	6	8	22.0	14.4
2	10	7	19.0	7.0
3	9	17	27.9	16.6
3	4	16	16.3	-0.4
0	2	23	-11.1	-24.6
6	2	1	-14.2	-20.2
3	2	19	-8.0	-18.5
6	3	22	-8.9	-15.4
5	7	25	26.2	14.2
3	4	2	10.2	-2.8
0	9	21	20.9	7.4
2	2	4	-3.7	-9.5
6	2	22	-3.6	-11.6
1	9	22	22.7	10.6
6	8	30	25.8	17.7
2	1	14	-14.4	-23.3
0	3	30	4.0	-0.7
5	1	10	-9.0	-13.4
1	6	16	22.8	14.0
6	10	11	17.9	7.6
4	5	15	21.4	7.1
2	3	11	7.8	-0.3
4	1	9	-6.1	-14.6
1	2	24	-8.7	-25.4
4	2	20	-14.6	-19.6
2	6	24	24.2	13.6
0	9	7	32.2	21.9
5	11	14	4.1	-0.2
1	7	7	30.2	20.4
4	6	19	20.5	11.8
5	2	28	-5.5	-17.0
2	2	18	-7.0	-21.6
0	8	24	28.5	18.7
4	10	9	8.7	4.7
3	1	22	-9.3	-18.1
1	10	6	15.4	10.9
4	4	10	11.5	3.1
5	11	7	10.6	2.9
2	10	21	10.1	0.5
1	9	15	26.0	14.0
5	5	30	30.5	11.1
3	11	5	17.1	4.3
1	1	6	-8.6	-19.1
6	10	4	15.3	2.9
6	3	29	3.3	-9.8
6	3	8	-0.3	-6.4
3	2	5	-7.1	-22.2
6	11	15	7.5	0.5
2	1	21	-10.6	-20.8
4	8	7	22.2	12.0
4	3	13	-2.0	-10.0
4	4	17	20.4	6.2
0	9	28	21.4	14.4
0	4	13	22.0	2.2
